8;9;9;6;5;9;12;9;12;3;1;9;12;12;3;5;3;2
2;5;9;13;8;3;10;1;7;2;1;9;7;11;9;13;5;13
10;4;5;0;3;2;11;3;2;8;12;3;5;14;6;4;4;10
8;12;7;8;3;11;0;3;11;3;10;2;4;2;10;5;9;13
2;10;2;1;9;13;4;2;11;9;13;10;1;13;8;0;3;4
11;14;0;3;2;11;9;7;10;2;4;10;2;8;9;13;5;3
4;1;13;2;8;13;5;3;11;7;1;13;11;3;2;8;0;3
1;9;0;14;3;11;7;1;0;9;3;10;11;3;11;3;0;3
5;9;0;6;2;10;1;6;11;3;5;14;7;2;11;9;13;2
4;5;7;4;10;10;1;14;13;1;13;5;3;8;7;2;10;10
1;0;12;9;7;11;3;1;13;2;8;0;9;3;2;8;0;7
2;10;4;5;3;10;1;9;0;0;3;10;5;12;7;1;0;3
11;14;9;14;12;13;5;3;10;8;3;11;7;4;5;9;0;3
8;3;1;6;10;8;14;9;14;12;6;11;6;2;4;2;11;3
5;9;12;14;7;2;1;6;1;7;10;10;4;10;2;10;11;3
4;2;4;1;6;10;2;10;2;2;11;13;2;10;8;13;11;3
1;14;12;12;14;0;13;10;10;8;7;10;10;8;12;14;0;3
1;9;7;4;1;7;8;14;14;9;9;14;14;9;14;3;8;6
